  beta    m   AU       MSE   TwoNN
  0.05   16   16   0.01164    8.58
  0.05   32   25   0.00892    9.87
  0.05   64   24   0.00925    9.74
  0.10   16   16   0.01170    8.46
  0.10   32   17   0.01144    9.05
  0.10   64   19   0.01088    9.31
  0.25   16   11   0.01516    7.36
  0.25   32   12   0.01495    7.79
  0.25   64   12   0.01530    8.06
  0.50   16    9   0.01810    6.83
  0.50   32    8   0.01987    6.53
  0.50   64    8   0.02012    6.49
  1.00   16    6   0.02399    5.20
  1.00   32    6   0.02516    5.38
  1.00   64    6   0.02571    5.45
