
=== MNIST  beta 文脈=0.25  尤度=gaussian  初期容量=64 ===
  B7_geco_l0   s=42     m=   12 (格子上 12) val_MSE=0.01610   152.8s SUCCESS
  B8_ard_vae   s=42     m=    6 (格子上 6) val_MSE=0.02163   121.5s SUCCESS
  B7_geco_l0   s=123    m=   13 (格子上 12) val_MSE=0.01590   154.3s SUCCESS
  B8_ard_vae   s=123    m=    6 (格子上 6) val_MSE=0.02134   121.3s SUCCESS
  B7_geco_l0   s=777    m=   13 (格子上 12) val_MSE=0.01494   158.5s SUCCESS
  B8_ard_vae   s=777    m=    6 (格子上 6) val_MSE=0.02246   109.8s SUCCESS
  B7_geco_l0   s=2024   m=   10 (格子上 10) val_MSE=0.01618   153.5s SUCCESS
  B8_ard_vae   s=2024   m=    6 (格子上 6) val_MSE=0.02172   120.3s SUCCESS
  B7_geco_l0   s=31337  m=   11 (格子上 10) val_MSE=0.01583   169.8s SUCCESS
  B8_ard_vae   s=31337  m=    6 (格子上 6) val_MSE=0.02169   115.7s SUCCESS

=== MNIST  beta 文脈=0.5  尤度=gaussian  初期容量=64 ===
  B7_geco_l0   s=42     m=   10 (格子上 10) val_MSE=0.01840   170.9s SUCCESS
  B8_ard_vae   s=42     m=    6 (格子上 6) val_MSE=0.02171   118.0s SUCCESS
  B7_geco_l0   s=123    m=   10 (格子上 10) val_MSE=0.01766   152.1s SUCCESS
  B8_ard_vae   s=123    m=    6 (格子上 6) val_MSE=0.02165   124.4s SUCCESS
  B7_geco_l0   s=777    m=    9 (格子上 8) val_MSE=0.01842   162.0s SUCCESS
  B8_ard_vae   s=777    m=    6 (格子上 6) val_MSE=0.02171   126.5s SUCCESS
  B7_geco_l0   s=2024   m=    9 (格子上 8) val_MSE=0.01909   152.8s SUCCESS
  B8_ard_vae   s=2024   m=    6 (格子上 6) val_MSE=0.02190   121.8s SUCCESS
  B7_geco_l0   s=31337  m=    9 (格子上 8) val_MSE=0.02011   155.1s SUCCESS
  B8_ard_vae   s=31337  m=    6 (格子上 6) val_MSE=0.02157   117.4s SUCCESS

=== MNIST  beta 文脈=2.0  尤度=gaussian  初期容量=64 ===
  B7_geco_l0   s=42     m=    6 (格子上 6) val_MSE=0.02579   203.6s SUCCESS
  B8_ard_vae   s=42     m=    6 (格子上 6) val_MSE=0.02579   166.6s SUCCESS
  B7_geco_l0   s=123    m=    5 (格子上 4) val_MSE=0.02926   159.2s SUCCESS
  B8_ard_vae   s=123    m=    6 (格子上 6) val_MSE=0.02656   171.9s SUCCESS
  B7_geco_l0   s=777    m=    6 (格子上 6) val_MSE=0.02680   186.4s SUCCESS
  B8_ard_vae   s=777    m=    6 (格子上 6) val_MSE=0.02680   150.4s SUCCESS
  B7_geco_l0   s=2024   m=    5 (格子上 4) val_MSE=0.02842   188.8s SUCCESS
  B8_ard_vae   s=2024   m=    6 (格子上 6) val_MSE=0.02632   170.2s SUCCESS
  B7_geco_l0   s=31337  m=    6 (格子上 6) val_MSE=0.02632   183.7s SUCCESS
  B8_ard_vae   s=31337  m=    6 (格子上 6) val_MSE=0.02632   143.3s SUCCESS

=== MNIST  beta 文脈=4.0  尤度=gaussian  初期容量=64 ===
  B7_geco_l0   s=42     m=    3 (格子上 2) val_MSE=0.04668   216.2s SUCCESS
  B8_ard_vae   s=42     m=    6 (格子上 6) val_MSE=0.03838   150.0s SUCCESS
  B7_geco_l0   s=123    m=    3 (格子上 2) val_MSE=0.04675   220.0s SUCCESS
  B8_ard_vae   s=123    m=    6 (格子上 6) val_MSE=0.03799   142.4s SUCCESS
  B7_geco_l0   s=777    m=    3 (格子上 2) val_MSE=0.05088   219.2s SUCCESS
  B8_ard_vae   s=777    m=    6 (格子上 6) val_MSE=0.03545   179.8s SUCCESS
  B7_geco_l0   s=2024   m=    3 (格子上 2) val_MSE=0.04072   215.1s SUCCESS
  B8_ard_vae   s=2024   m=    6 (格子上 6) val_MSE=0.03777   180.0s SUCCESS
  B7_geco_l0   s=31337  m=    3 (格子上 2) val_MSE=0.05086   218.5s SUCCESS
  B8_ard_vae   s=31337  m=    6 (格子上 6) val_MSE=0.03868   159.7s SUCCESS

=== FashionMNIST  beta 文脈=0.25  尤度=gaussian  初期容量=64 ===
  B7_geco_l0   s=42     m=    5 (格子上 4) val_MSE=0.01910   150.9s SUCCESS
  B8_ard_vae   s=42     m=    4 (格子上 4) val_MSE=0.01910   112.5s SUCCESS
  B7_geco_l0   s=123    m=    6 (格子上 6) val_MSE=0.01652   150.8s SUCCESS
  B8_ard_vae   s=123    m=    4 (格子上 4) val_MSE=0.01996   101.9s SUCCESS
  B7_geco_l0   s=777    m=    6 (格子上 6) val_MSE=0.01599   155.7s SUCCESS
  B8_ard_vae   s=777    m=    3 (格子上 2) val_MSE=0.02600   114.7s SUCCESS
  B7_geco_l0   s=2024   m=    6 (格子上 6) val_MSE=0.01644   145.6s SUCCESS
  B8_ard_vae   s=2024   m=    4 (格子上 4) val_MSE=0.01903   109.9s SUCCESS
  B7_geco_l0   s=31337  m=    6 (格子上 6) val_MSE=0.01624   148.8s SUCCESS
  B8_ard_vae   s=31337  m=    4 (格子上 4) val_MSE=0.01874   125.9s SUCCESS

=== FashionMNIST  beta 文脈=0.5  尤度=gaussian  初期容量=64 ===
  B7_geco_l0   s=42     m=    5 (格子上 4) val_MSE=0.01889   152.2s SUCCESS
  B8_ard_vae   s=42     m=    4 (格子上 4) val_MSE=0.01889   117.5s SUCCESS
  B7_geco_l0   s=123    m=    6 (格子上 6) val_MSE=0.01896   156.0s SUCCESS
  B8_ard_vae   s=123    m=    4 (格子上 4) val_MSE=0.01898   120.8s SUCCESS
  B7_geco_l0   s=777    m=    5 (格子上 4) val_MSE=0.01944   146.6s SUCCESS
  B8_ard_vae   s=777    m=    3 (格子上 2) val_MSE=0.02505   145.0s SUCCESS
  B7_geco_l0   s=2024   m=    5 (格子上 4) val_MSE=0.01952   141.0s SUCCESS
  B8_ard_vae   s=2024   m=    4 (格子上 4) val_MSE=0.01952   107.2s SUCCESS
  B7_geco_l0   s=31337  m=    5 (格子上 4) val_MSE=0.01875   160.8s SUCCESS
