model,m,mse,au,id_twonn,id_mle,cka
AE,1,0.04366486892104149,1,1.022911209472127,1.1498758838724457,0.10210863956593919
AE,2,0.039914634078741074,2,2.1090865365403997,2.2757921545260187,0.4292956383523604
AE,4,0.02921702340245247,4,3.8600288151354545,4.29338527728684,0.5750896317777251
AE,8,0.01910853199660778,8,6.084656828441999,6.696479934939479,0.7247492443611425
AE,12,0.01481279730796814,12,7.585232601037578,7.938538408124584,0.7906816860261784
AE,16,0.012138561345636845,16,7.962744196160143,8.609990133605047,0.8123150593629349
AE,20,0.01138088945299387,20,8.236761273083559,9.003109241550597,0.8395967912176341
AE,32,0.008738446980714798,32,8.837835971800754,9.892301314606454,0.8746894864904587
AE,64,0.006228904239833355,64,9.537267606131367,11.26368876467207,0.9078935751510293
AE,128,0.006133135873824358,128,9.839067857442691,11.449266709154305,0.9207188171291625
AE,256,0.005702597554773092,256,10.021932669637406,11.847345381993792,0.9533976784164476
VAE,1,0.04636704921722412,1,1.0,1.11400754605502,0.34669652484757574
VAE,2,0.03713139146566391,2,2.1135047366417496,2.246535990853508,0.4433919711242277
VAE,4,0.02749532274901867,4,3.7178669141441008,4.2761880660817,0.5669941642612182
VAE,8,0.018582506105303764,8,6.356441305947367,6.979394665180073,0.6872379670991917
VAE,12,0.01835651509463787,8,6.263749661650881,6.965030998611275,0.7124044546496138
VAE,16,0.014782044105231762,11,7.181764140440294,8.228567045109168,0.6917896235744733
VAE,20,0.013436537235975266,13,7.593321579189448,8.698116102822418,0.7027305542845964
VAE,32,0.012092510238289833,15,8.245720475665973,9.166317899758976,0.7090263527830278
VAE,64,0.01033075712621212,29,9.155005068606703,9.867217215720641,0.7425250402861469
VAE,128,0.008518943563103676,26,10.018653008634653,10.723024787501071,0.7718071570767983
VAE,256,0.00716057326644659,36,10.142878979037546,11.602574473195132,0.8093597929753055
