latent_dim,mse,au,id_twonn,id_mle,id_pca,cka,model
1,141.58301639556885,1,1.020259379460766,1.1358880289436684,1,0.2981231631478352,AE
2,122.31529188156128,2,2.0510495426721698,2.273875910087979,2,0.43533554367909455,AE
4,95.03536748886108,4,4.041576357370714,4.377885081979093,4,0.5815312641284203,AE
6,76.786536693573,6,5.3579964099138,5.822548515701733,6,0.7203829298386696,AE
8,66.5977566242218,8,6.174821106718431,6.681474592439561,7,0.7628514906946651,AE
10,59.4884672164917,10,6.916834133267586,7.384466269789484,9,0.7976808676322692,AE
12,55.501498222351074,12,7.590943916446344,7.877435155511466,11,0.8370727456085413,AE
16,47.86805510520935,16,8.17926039533959,8.688658013892843,14,0.8704391804174487,AE
20,43.01872897148132,20,8.754266907609736,9.372198558701362,17,0.891276049730856,AE
32,34.387856006622314,32,9.370198676477424,10.45129425535127,26,0.9161055411263346,AE
64,27.621880888938904,64,10.173879025440154,11.710966063882145,40,0.9369135117903338,AE
1,144.74489879608154,1,1.0,1.1340873663265334,1,0.33122094716648737,VAE
2,124.32640933990479,2,2.0474773424807875,2.2580687911869455,2,0.46552832024335195,VAE
4,94.47764778137207,4,4.058554026927441,4.381176700072668,4,0.5809228833143475,VAE
6,77.42806196212769,6,5.4284827817518915,5.810286990613486,6,0.7091228405986019,VAE
8,65.55189180374146,8,6.385395559894144,6.792447001105034,8,0.770477397360248,VAE
10,58.32734251022339,10,7.058010888951429,7.535698076555551,9,0.8104840479361888,VAE
12,53.81723356246948,12,7.483736835675082,8.088062902954348,11,0.8352915258494182,VAE
16,46.02382683753967,16,8.291925846158744,8.871682823561024,14,0.873481060082422,VAE
20,41.798994302749634,20,8.853657623911158,9.414643144942046,18,0.8978193270522625,VAE
32,33.165579319000244,32,9.474095022345113,10.465923210297111,26,0.9249628115139313,VAE
64,28.62756037712097,64,10.023321393528724,11.3696987914601,35,0.934529310066579,VAE
