dataset,seed,beta,policy,c,R,A,id_accepted,fallback,selected_m,full_grid_min,excess_width,excess_grid_steps,exact,quality_met,T_D,requested_count,requested_widths,canonical_keys,candidate_seconds,reference_seconds,cold_seconds,amortized25_seconds,soft_budget_exceeded,val_mse,test_mse,nonmonotone_Q
MNIST,42,0.25,Full grid Q,2,0.15,0.25,,False,10,10,0,0,True,True,0.01789205630555445,12,64;2;4;6;8;10;12;16;20;24;32;48,vae|MNIST|m64|s42|e300|es1|b0.25;vae|MNIST|m2|s42|e300|es1|b0.25;vae|MNIST|m4|s42|e300|es1|b0.25;vae|MNIST|m6|s42|e300|es1|b0.25;vae|MNIST|m8|s42|e300|es1|b0.25;vae|MNIST|m10|s42|e300|es1|b0.25;vae|MNIST|m12|s42|e300|es1|b0.25;vae|MNIST|m16|s42|e300|es1|b0.25;vae|MNIST|m20|s42|e300|es1|b0.25;vae|MNIST|m24|s42|e300|es1|b0.25;vae|MNIST|m32|s42|e300|es1|b0.25;vae|MNIST|m48|s42|e300|es1|b0.25,409.15502405166626,0.0,409.15502405166626,409.15502405166626,False,0.016250732421875004,0.01577168388107196,False
MNIST,42,0.25,Ascending Q,2,0.15,0.25,,False,10,10,0,0,True,True,0.01789205630555445,6,64;2;4;6;8;10,vae|MNIST|m64|s42|e300|es1|b0.25;vae|MNIST|m2|s42|e300|es1|b0.25;vae|MNIST|m4|s42|e300|es1|b0.25;vae|MNIST|m6|s42|e300|es1|b0.25;vae|MNIST|m8|s42|e300|es1|b0.25;vae|MNIST|m10|s42|e300|es1|b0.25,184.69762563705444,0.0,184.69762563705444,184.69762563705444,False,0.016250732421875004,0.01577168388107196,False
MNIST,42,0.25,Legacy window,2,0.15,0.25,True,False,10,10,0,0,True,True,0.01789205630555445,10,64;2;4;6;8;10;12;16;20;24,vae|MNIST|m64|s42|e300|es1|b0.25;vae|MNIST|m2|s42|e300|es1|b0.25;vae|MNIST|m4|s42|e300|es1|b0.25;vae|MNIST|m6|s42|e300|es1|b0.25;vae|MNIST|m8|s42|e300|es1|b0.25;vae|MNIST|m10|s42|e300|es1|b0.25;vae|MNIST|m12|s42|e300|es1|b0.25;vae|MNIST|m16|s42|e300|es1|b0.25;vae|MNIST|m20|s42|e300|es1|b0.25;vae|MNIST|m24|s42|e300|es1|b0.25,316.7882957458496,207.46426463127136,524.252560377121,325.08686633110045,False,0.016250732421875004,0.01577168388107196,False
MNIST,42,0.25,ID local,2,0.15,0.25,True,False,10,10,0,0,True,True,0.01789205630555445,7,64;24;20;16;12;10;8,vae|MNIST|m64|s42|e300|es1|b0.25;vae|MNIST|m24|s42|e300|es1|b0.25;vae|MNIST|m20|s42|e300|es1|b0.25;vae|MNIST|m16|s42|e300|es1|b0.25;vae|MNIST|m12|s42|e300|es1|b0.25;vae|MNIST|m10|s42|e300|es1|b0.25;vae|MNIST|m8|s42|e300|es1|b0.25,228.86645364761353,207.46426463127136,436.3307182788849,237.16502423286437,False,0.016250732421875004,0.01577168388107196,False
MNIST,42,0.25,Midpoint local,2,0.15,0.25,,False,10,10,0,0,True,True,0.01789205630555445,4,64;12;10;8,vae|MNIST|m64|s42|e300|es1|b0.25;vae|MNIST|m12|s42|e300|es1|b0.25;vae|MNIST|m10|s42|e300|es1|b0.25;vae|MNIST|m8|s42|e300|es1|b0.25,126.61992287635803,0.0,126.61992287635803,126.61992287635803,False,0.016250732421875004,0.01577168388107196,False
MNIST,42,0.25,ID certified,2,0.15,0.25,True,False,10,10,0,0,True,True,0.01789205630555445,10,64;24;20;16;12;10;8;2;4;6,vae|MNIST|m64|s42|e300|es1|b0.25;vae|MNIST|m24|s42|e300|es1|b0.25;vae|MNIST|m20|s42|e300|es1|b0.25;vae|MNIST|m16|s42|e300|es1|b0.25;vae|MNIST|m12|s42|e300|es1|b0.25;vae|MNIST|m10|s42|e300|es1|b0.25;vae|MNIST|m8|s42|e300|es1|b0.25;vae|MNIST|m2|s42|e300|es1|b0.25;vae|MNIST|m4|s42|e300|es1|b0.25;vae|MNIST|m6|s42|e300|es1|b0.25,316.7882957458496,207.46426463127136,524.252560377121,325.08686633110045,False,0.016250732421875004,0.01577168388107196,False
MNIST,123,0.25,Full grid Q,2,0.15,0.25,,False,10,10,0,0,True,True,0.01701863185337612,12,64;2;4;6;8;10;12;16;20;24;32;48,vae|MNIST|m64|s123|e300|es1|b0.25;vae|MNIST|m2|s123|e300|es1|b0.25;vae|MNIST|m4|s123|e300|es1|b0.25;vae|MNIST|m6|s123|e300|es1|b0.25;vae|MNIST|m8|s123|e300|es1|b0.25;vae|MNIST|m10|s123|e300|es1|b0.25;vae|MNIST|m12|s123|e300|es1|b0.25;vae|MNIST|m16|s123|e300|es1|b0.25;vae|MNIST|m20|s123|e300|es1|b0.25;vae|MNIST|m24|s123|e300|es1|b0.25;vae|MNIST|m32|s123|e300|es1|b0.25;vae|MNIST|m48|s123|e300|es1|b0.25,378.6914236545563,0.0,378.6914236545563,378.6914236545563,False,0.016006973578005422,0.015595664718524131,False
MNIST,123,0.25,Ascending Q,2,0.15,0.25,,False,10,10,0,0,True,True,0.01701863185337612,6,64;2;4;6;8;10,vae|MNIST|m64|s123|e300|es1|b0.25;vae|MNIST|m2|s123|e300|es1|b0.25;vae|MNIST|m4|s123|e300|es1|b0.25;vae|MNIST|m6|s123|e300|es1|b0.25;vae|MNIST|m8|s123|e300|es1|b0.25;vae|MNIST|m10|s123|e300|es1|b0.25,190.67620468139648,0.0,190.67620468139648,190.67620468139648,False,0.016006973578005422,0.015595664718524131,False
MNIST,123,0.25,Legacy window,2,0.15,0.25,True,False,10,10,0,0,True,True,0.01701863185337612,10,64;2;4;6;8;10;12;16;20;24,vae|MNIST|m64|s123|e300|es1|b0.25;vae|MNIST|m2|s123|e300|es1|b0.25;vae|MNIST|m4|s123|e300|es1|b0.25;vae|MNIST|m6|s123|e300|es1|b0.25;vae|MNIST|m8|s123|e300|es1|b0.25;vae|MNIST|m10|s123|e300|es1|b0.25;vae|MNIST|m12|s123|e300|es1|b0.25;vae|MNIST|m16|s123|e300|es1|b0.25;vae|MNIST|m20|s123|e300|es1|b0.25;vae|MNIST|m24|s123|e300|es1|b0.25,307.12602639198303,207.46426463127136,514.5902910232544,315.4245969772339,False,0.016006973578005422,0.015595664718524131,False
MNIST,123,0.25,ID local,2,0.15,0.25,True,False,10,10,0,0,True,True,0.01701863185337612,7,64;24;20;16;12;10;8,vae|MNIST|m64|s123|e300|es1|b0.25;vae|MNIST|m24|s123|e300|es1|b0.25;vae|MNIST|m20|s123|e300|es1|b0.25;vae|MNIST|m16|s123|e300|es1|b0.25;vae|MNIST|m12|s123|e300|es1|b0.25;vae|MNIST|m10|s123|e300|es1|b0.25;vae|MNIST|m8|s123|e300|es1|b0.25,213.71621441841125,207.46426463127136,421.1804790496826,222.0147850036621,False,0.016006973578005422,0.015595664718524131,False
