dataset,seed,width,best_epoch,epochs_run,cache_key
MNIST,42,6,76,106,vae|MNIST|m6|s42|e300|es1|b1
MNIST,123,6,84,114,vae|MNIST|m6|s123|e300|es1|b1
MNIST,777,6,85,115,vae|MNIST|m6|s777|e300|es1|b1
MNIST,2024,6,91,121,vae|MNIST|m6|s2024|e300|es1|b1
MNIST,31337,6,98,128,vae|MNIST|m6|s31337|e300|es1|b1
FashionMNIST,42,4,174,204,vae|FashionMNIST|m4|s42|e300|es1|b1
FashionMNIST,123,4,97,127,vae|FashionMNIST|m4|s123|e300|es1|b1
FashionMNIST,777,4,160,190,vae|FashionMNIST|m4|s777|e300|es1|b1
FashionMNIST,2024,4,90,120,vae|FashionMNIST|m4|s2024|e300|es1|b1
FashionMNIST,31337,4,114,144,vae|FashionMNIST|m4|s31337|e300|es1|b1
dSprites,42,24,180,210,vae|dSprites|m24|s42|e300|es1|b1
dSprites,123,20,191,221,vae|dSprites|m20|s123|e300|es1|b1
dSprites,777,16,158,188,vae|dSprites|m16|s777|e300|es1|b1
dSprites,2024,16,204,234,vae|dSprites|m16|s2024|e300|es1|b1
dSprites,31337,24,145,175,vae|dSprites|m24|s31337|e300|es1|b1
CIFAR10,42,24,42,72,vae|CIFAR10|m24|s42|e300|es1|b1
CIFAR10,123,24,55,85,vae|CIFAR10|m24|s123|e300|es1|b1
CIFAR10,777,24,25,55,vae|CIFAR10|m24|s777|e300|es1|b1
CIFAR10,2024,24,62,92,vae|CIFAR10|m24|s2024|e300|es1|b1
CIFAR10,31337,24,57,87,vae|CIFAR10|m24|s31337|e300|es1|b1
