dataset,method,seed,beta,role,cache_key,original_trace_key,original_seconds,original_source,canonical_seconds,canonical_source,final_metric_dicts_identical,checkpoint_identity,requested_epochs,early_stopping
MNIST,B1_full_mse,42,1.0,anchor,vae|MNIST|m64|s42|e300|es1|b1,vae|m64|e300|es1,68.16339802742004,"stage4_methods.json: (MNIST,B1_full_mse,42,1).trace[11]",66.05860233306885,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s42|e300|es1|b1,,not available,300,True
MNIST,B1_full_mse,42,1.0,final,vae|MNIST|m8|s42|e300|es1|b1,vae|m8|e300|es1,58.79733061790466,"stage4_methods.json: (MNIST,B1_full_mse,42,1).trace[3]",57.360193967819214,results/make49/stage4_cache/MNIST.json:vae|MNIST|m8|s42|e300|es1|b1,True,not available,300,True
MNIST,B1_full_mse,123,1.0,anchor,vae|MNIST|m64|s123|e300|es1|b1,vae|m64|e300|es1,50.964011669158936,"stage4_methods.json: (MNIST,B1_full_mse,123,1).trace[11]",45.33538007736206,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s123|e300|es1|b1,,not available,300,True
MNIST,B1_full_mse,123,1.0,final,vae|MNIST|m24|s123|e300|es1|b1,vae|m24|e300|es1,63.30890440940857,"stage4_methods.json: (MNIST,B1_full_mse,123,1).trace[8]",56.936975717544556,results/make49/stage4_cache/MNIST.json:vae|MNIST|m24|s123|e300|es1|b1,True,not available,300,True
MNIST,B1_full_mse,777,1.0,anchor,vae|MNIST|m64|s777|e300|es1|b1,vae|m64|e300|es1,74.62458491325378,"stage4_methods.json: (MNIST,B1_full_mse,777,1).trace[11]",66.14485359191895,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s777|e300|es1|b1,,not available,300,True
MNIST,B1_full_mse,777,1.0,final,vae|MNIST|m12|s777|e300|es1|b1,vae|m12|e300|es1,59.6968674659729,"stage4_methods.json: (MNIST,B1_full_mse,777,1).trace[5]",52.41909122467041,results/make49/stage4_cache/MNIST.json:vae|MNIST|m12|s777|e300|es1|b1,True,not available,300,True
MNIST,B1_full_mse,2024,1.0,anchor,vae|MNIST|m64|s2024|e300|es1|b1,vae|m64|e300|es1,71.89669346809387,"stage4_methods.json: (MNIST,B1_full_mse,2024,1).trace[11]",62.86958146095276,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s2024|e300|es1|b1,,not available,300,True
MNIST,B1_full_mse,2024,1.0,final,vae|MNIST|m10|s2024|e300|es1|b1,vae|m10|e300|es1,51.95336580276489,"stage4_methods.json: (MNIST,B1_full_mse,2024,1).trace[4]",45.62505125999451,results/make49/stage4_cache/MNIST.json:vae|MNIST|m10|s2024|e300|es1|b1,True,not available,300,True
MNIST,B1_full_mse,31337,1.0,anchor,vae|MNIST|m64|s31337|e300|es1|b1,vae|m64|e300|es1,80.74756026268005,"stage4_methods.json: (MNIST,B1_full_mse,31337,1).trace[11]",72.526198387146,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s31337|e300|es1|b1,,not available,300,True
MNIST,B1_full_mse,31337,1.0,final,vae|MNIST|m10|s31337|e300|es1|b1,vae|m10|e300|es1,47.49093961715698,"stage4_methods.json: (MNIST,B1_full_mse,31337,1).trace[4]",42.29352569580078,results/make49/stage4_cache/MNIST.json:vae|MNIST|m10|s31337|e300|es1|b1,True,not available,300,True
MNIST,B2_full_elbo,42,1.0,anchor,vae|MNIST|m64|s42|e300|es1|b1,vae|m64|e300|es1,68.16339802742004,"stage4_methods.json: (MNIST,B2_full_elbo,42,1).trace[11]",66.05860233306885,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s42|e300|es1|b1,,not available,300,True
MNIST,B2_full_elbo,42,1.0,final,vae|MNIST|m8|s42|e300|es1|b1,vae|m8|e300|es1,58.79733061790466,"stage4_methods.json: (MNIST,B2_full_elbo,42,1).trace[3]",57.360193967819214,results/make49/stage4_cache/MNIST.json:vae|MNIST|m8|s42|e300|es1|b1,True,not available,300,True
MNIST,B2_full_elbo,123,1.0,anchor,vae|MNIST|m64|s123|e300|es1|b1,vae|m64|e300|es1,50.964011669158936,"stage4_methods.json: (MNIST,B2_full_elbo,123,1).trace[11]",45.33538007736206,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s123|e300|es1|b1,,not available,300,True
MNIST,B2_full_elbo,123,1.0,final,vae|MNIST|m8|s123|e300|es1|b1,vae|m8|e300|es1,44.407644510269165,"stage4_methods.json: (MNIST,B2_full_elbo,123,1).trace[3]",29.87391448020935,results/make49/stage4_cache/MNIST.json:vae|MNIST|m8|s123|e300|es1|b1,True,not available,300,True
MNIST,B2_full_elbo,777,1.0,anchor,vae|MNIST|m64|s777|e300|es1|b1,vae|m64|e300|es1,74.62458491325378,"stage4_methods.json: (MNIST,B2_full_elbo,777,1).trace[11]",66.14485359191895,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s777|e300|es1|b1,,not available,300,True
MNIST,B2_full_elbo,777,1.0,final,vae|MNIST|m12|s777|e300|es1|b1,vae|m12|e300|es1,59.6968674659729,"stage4_methods.json: (MNIST,B2_full_elbo,777,1).trace[5]",52.41909122467041,results/make49/stage4_cache/MNIST.json:vae|MNIST|m12|s777|e300|es1|b1,True,not available,300,True
MNIST,B2_full_elbo,2024,1.0,anchor,vae|MNIST|m64|s2024|e300|es1|b1,vae|m64|e300|es1,71.89669346809387,"stage4_methods.json: (MNIST,B2_full_elbo,2024,1).trace[11]",62.86958146095276,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s2024|e300|es1|b1,,not available,300,True
MNIST,B2_full_elbo,2024,1.0,final,vae|MNIST|m12|s2024|e300|es1|b1,vae|m12|e300|es1,49.19885873794556,"stage4_methods.json: (MNIST,B2_full_elbo,2024,1).trace[5]",44.522544384002686,results/make49/stage4_cache/MNIST.json:vae|MNIST|m12|s2024|e300|es1|b1,True,not available,300,True
MNIST,B2_full_elbo,31337,1.0,anchor,vae|MNIST|m64|s31337|e300|es1|b1,vae|m64|e300|es1,80.74756026268005,"stage4_methods.json: (MNIST,B2_full_elbo,31337,1).trace[11]",72.526198387146,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s31337|e300|es1|b1,,not available,300,True
MNIST,B2_full_elbo,31337,1.0,final,vae|MNIST|m10|s31337|e300|es1|b1,vae|m10|e300|es1,47.49093961715698,"stage4_methods.json: (MNIST,B2_full_elbo,31337,1).trace[4]",42.29352569580078,results/make49/stage4_cache/MNIST.json:vae|MNIST|m10|s31337|e300|es1|b1,True,not available,300,True
MNIST,B3_full_downstream,42,1.0,anchor,vae|MNIST|m64|s42|e300|es1|b1,vae|m64|e300|es1,68.16339802742004,"stage4_methods.json: (MNIST,B3_full_downstream,42,1).trace[11]",66.05860233306885,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s42|e300|es1|b1,,not available,300,True
MNIST,B3_full_downstream,42,1.0,final,vae|MNIST|m64|s42|e300|es1|b1,vae|m64|e300|es1,68.16339802742004,"stage4_methods.json: (MNIST,B3_full_downstream,42,1).trace[11]",66.05860233306885,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s42|e300|es1|b1,True,not available,300,True
MNIST,B3_full_downstream,123,1.0,anchor,vae|MNIST|m64|s123|e300|es1|b1,vae|m64|e300|es1,50.964011669158936,"stage4_methods.json: (MNIST,B3_full_downstream,123,1).trace[11]",45.33538007736206,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s123|e300|es1|b1,,not available,300,True
MNIST,B3_full_downstream,123,1.0,final,vae|MNIST|m64|s123|e300|es1|b1,vae|m64|e300|es1,50.964011669158936,"stage4_methods.json: (MNIST,B3_full_downstream,123,1).trace[11]",45.33538007736206,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s123|e300|es1|b1,True,not available,300,True
MNIST,B3_full_downstream,777,1.0,anchor,vae|MNIST|m64|s777|e300|es1|b1,vae|m64|e300|es1,74.62458491325378,"stage4_methods.json: (MNIST,B3_full_downstream,777,1).trace[11]",66.14485359191895,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s777|e300|es1|b1,,not available,300,True
MNIST,B3_full_downstream,777,1.0,final,vae|MNIST|m32|s777|e300|es1|b1,vae|m32|e300|es1,52.999956369400024,"stage4_methods.json: (MNIST,B3_full_downstream,777,1).trace[9]",47.35809826850891,results/make49/stage4_cache/MNIST.json:vae|MNIST|m32|s777|e300|es1|b1,True,not available,300,True
MNIST,B3_full_downstream,2024,1.0,anchor,vae|MNIST|m64|s2024|e300|es1|b1,vae|m64|e300|es1,71.89669346809387,"stage4_methods.json: (MNIST,B3_full_downstream,2024,1).trace[11]",62.86958146095276,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s2024|e300|es1|b1,,not available,300,True
MNIST,B3_full_downstream,2024,1.0,final,vae|MNIST|m48|s2024|e300|es1|b1,vae|m48|e300|es1,72.68418407440186,"stage4_methods.json: (MNIST,B3_full_downstream,2024,1).trace[10]",66.2766706943512,results/make49/stage4_cache/MNIST.json:vae|MNIST|m48|s2024|e300|es1|b1,True,not available,300,True
MNIST,B3_full_downstream,31337,1.0,anchor,vae|MNIST|m64|s31337|e300|es1|b1,vae|m64|e300|es1,80.74756026268005,"stage4_methods.json: (MNIST,B3_full_downstream,31337,1).trace[11]",72.526198387146,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s31337|e300|es1|b1,,not available,300,True
MNIST,B3_full_downstream,31337,1.0,final,vae|MNIST|m48|s31337|e300|es1|b1,vae|m48|e300|es1,60.88978981971741,"stage4_methods.json: (MNIST,B3_full_downstream,31337,1).trace[10]",55.79539775848389,results/make49/stage4_cache/MNIST.json:vae|MNIST|m48|s31337|e300|es1|b1,True,not available,300,True
MNIST,B4_coarse,42,1.0,anchor,vae|MNIST|m64|s42|e300|es1|b1,vae|m64|e300|es1,68.16339802742004,"stage4_methods.json: (MNIST,B4_coarse,42,1).trace[3]",66.05860233306885,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s42|e300|es1|b1,,not available,300,True
MNIST,B4_coarse,42,1.0,final,vae|MNIST|m10|s42|e300|es1|b1,vae|m10|e300|es1,58.37271595001221,"stage4_methods.json: (MNIST,B4_coarse,42,1).trace[2]",57.076122522354126,results/make49/stage4_cache/MNIST.json:vae|MNIST|m10|s42|e300|es1|b1,True,not available,300,True
MNIST,B4_coarse,123,1.0,anchor,vae|MNIST|m64|s123|e300|es1|b1,vae|m64|e300|es1,50.964011669158936,"stage4_methods.json: (MNIST,B4_coarse,123,1).trace[3]",45.33538007736206,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s123|e300|es1|b1,,not available,300,True
MNIST,B4_coarse,123,1.0,final,vae|MNIST|m10|s123|e300|es1|b1,vae|m10|e300|es1,45.887362241744995,"stage4_methods.json: (MNIST,B4_coarse,123,1).trace[2]",40.4986572265625,results/make49/stage4_cache/MNIST.json:vae|MNIST|m10|s123|e300|es1|b1,True,not available,300,True
MNIST,B4_coarse,777,1.0,anchor,vae|MNIST|m64|s777|e300|es1|b1,vae|m64|e300|es1,74.62458491325378,"stage4_methods.json: (MNIST,B4_coarse,777,1).trace[3]",66.14485359191895,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s777|e300|es1|b1,,not available,300,True
