dataset,method,seed,beta,selected_raw,final_m,anchor_m,D_anchor,T_D,val_mse,test_mse,quality_met,original_seconds,added_anchor_seconds,accounted_seconds,state,id_fallback,budget_exhausted,compact,calibration_seconds,final_constraint_ma
MNIST,B1_full_mse,42,1.0,8,8,64,0.023851687684351083,0.02623685645278619,0.02116786972357302,0.020691342100805164,True,610.3513901233673,0.0,610.3513901233673,SUCCESS,False,False,True,0.0,
MNIST,B1_full_mse,123,1.0,24,24,64,0.02427723039899554,0.02670495343889509,0.021253844592036032,0.02076728582057823,True,643.1506254673004,0.0,643.1506254673004,SUCCESS,False,False,True,0.0,
MNIST,B1_full_mse,777,1.0,12,12,64,0.022899083974410078,0.025188992371851085,0.020660642974230706,0.020194686993449725,True,659.7772653102875,0.0,659.7772653102875,SUCCESS,False,False,True,0.0,
MNIST,B1_full_mse,2024,1.0,10,10,64,0.023515710947464925,0.025867282042211417,0.020839620784837372,0.02026402583738574,True,575.1190836429596,0.0,575.1190836429596,SUCCESS,False,False,True,0.0,
MNIST,B1_full_mse,31337,1.0,10,10,64,0.024017999765824295,0.026419799742406724,0.020997278330277425,0.020562927661298892,True,649.1248335838318,0.0,649.1248335838318,SUCCESS,False,False,True,0.0,
MNIST,B2_full_elbo,42,1.0,8,8,64,0.023851687684351083,0.02623685645278619,0.02116786972357302,0.020691342100805164,True,610.3513901233673,0.0,610.3513901233673,SUCCESS,False,False,True,0.0,
MNIST,B2_full_elbo,123,1.0,8,8,64,0.02427723039899554,0.02670495343889509,0.021275372874980072,0.020833733591092685,True,643.1506254673004,0.0,643.1506254673004,SUCCESS,False,False,True,0.0,
MNIST,B2_full_elbo,777,1.0,12,12,64,0.022899083974410078,0.025188992371851085,0.020660642974230706,0.020194686993449725,True,659.7772653102875,0.0,659.7772653102875,SUCCESS,False,False,True,0.0,
MNIST,B2_full_elbo,2024,1.0,12,12,64,0.023515710947464925,0.025867282042211417,0.02087516722387197,0.02042577938157685,True,575.1190836429596,0.0,575.1190836429596,SUCCESS,False,False,True,0.0,
MNIST,B2_full_elbo,31337,1.0,10,10,64,0.024017999765824295,0.026419799742406724,0.020997278330277425,0.020562927661298892,True,649.1248335838318,0.0,649.1248335838318,SUCCESS,False,False,True,0.0,
